PRODUCT,LEGACY PRODUCT,DESCRIPTION,UPC,QTY ORD,QTY,PRICE,UNIT ALLOW,NET PRICE,EXT US($)
K3998307,SPE913,SLIM EYE PNCL - SAPPHIRE,80089710913,72,72,3.00,1.00,2.00,144.00
K3999807,SPE928,SLIM EYE PNCL - VELVET,80089712630,30,30,0.00,0.00,0.00,0.00
K4001408,SPL804,SLIM LIP PNCL - CABARET,80089710804,30,30,3.00,1.00,2.00,60.00
K4001908,SPL809,SLIM LIP PNCL - MAHOGANY,80089710809,60,60,3.00,1.00,2.00,120.00
K4002008,SPL810,SLIM LIP PNCL - NATURAL,80089710810,30,30,3.00,1.00,2.00,60.00
K4002707,SPL817,SLIM LP PNCL - HOT RED,800897108175,30,30,3.00,1.00,2.00,60.00
K4003808,SPL828,SLIM LP PNCL - EVER,800897108285,30,30,3.00,1.00,2.00,60.00
K4003907,SPL829,SLIM LP PNCL - HOT COCOA,800897108299,30,30,3.00,1.00,2.00,60.00
K4004108,SPL831,SLIM LP PNCL - MAUVE,800897108311,30,30,3.00,1.00,2.00,60.00
K4004607,SPL836,SLIM LP PNCL - BLOOM,800897108366,60,60,3.00,1.00,2.00,120.00
K4005907,SPL849,SLIM LP PNCL - BEIGE,800897126414,60,60,3.00,1.00,2.00,120.00
K4006508,SPL855,SLIM LP PNCL - NUDE TRUFFLE,800897139414,30,30,3.00,1.00,2.00,60.00
K4006808,SPL858,SLIM LP PNCL - NUDE PINK,800897139444,30,30,3.00,1.00,2.00,60.00
K4007008,SPL860,SLIM LP PNCL - PEEKABOO NEUTRAL,800897139466,30,30,3.00,1.00,2.00,60.00
K3280700,SSB01,SHROOMBOOTIC SERUM BRUSH 01,800897099303,30,30,7.80,2.60,5.20,156.00
K4008004,SSEM01,SUPER SKINNY EYE MFRKR - CARBN BLK,800897138522,30,30,6.60,2.20,4.40,132.00
K0608600,TBG01,THE BROW GLUE 01,800897003777,360,360,6.00,2.00,4.00,"1,440.00"
K5438000,TBG02,THE BROW GLUE INST STYLR TAUPE,800897233792,144,144,6.00,2.00,4.00,576.00
K5438100,TBG03,THE BROW GLUE INST STYLR MED BROWN,800897233808,216,216,6.00,2.00,4.00,864.00
K5438200,TBG04,THE BROW GLUE INST STYLR DK BROWN,800897233814,144,0,0.00,0.00,0.00,0.00
K5438301,TBG05,THE BROW GLUE INST STYLR BLCK,800897233844,144,144,6.00,2.00,4.00,576.00
K4165004,TBM01,TINTED BROW MASCARA - BLONDE,800897832797,30,30,5.10,1.70,3.40,102.00
K4165103,TBM02,TINTED BROW MASCARA - CHOCOLATE,800897832803,30,30,5.10,1.70,3.40,102.00
K4165404,TBM05,TINTED BROW MASCARA - BLACK,800897832834,30,30,5.10,1.70,3.40,102.00
K5229500,TIM009,THIS IS MILKY GLOSS MIXED BERRY SHK,800897225186,30,30,5.10,1.70,3.40,102.00
